Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3667,a2014,zT,Fa,Fs,,,30x35,mittel,breit,,,U,,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3668,a2014,B, ,,,,30x35,mittel,breit,,,Gs,Ri,Sb,Ti,O,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,a2014,zT,B,Fs,,,30x35,mittel,breit,Lst,,UnG,FigG,Ti,O,,WG20,H1,gr,ParFV,was,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,a2014,Mt,B,T,Lk,G,30x35,mittel,breit,,,UoG,O,Ti,,,WG20,H3,gr,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Rok,3670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,a2014,zT,B,Lk,,,30x35,mittel,breit,,,UoG,mF,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3672,a2014,G,,,,,30x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,a2014,B,,,,,30x35,mittel,breit,,,U,,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3674,a2014,B,,,,,30x35,mittel,breit,,,Gs,FigG,Ti,O,,WG20,H3,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,a2014,B,,,,,30x35,mittel,breit,,,UoG,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3676,a2014,zT,B,T,,,30x35,mittel,breit,,,Gs,Ti,O,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3677,a2014,zT,Ac,Sc,,,30x35,mittel,breit,,,Gs,P,,,,WG20,H3,bw,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3678,a2014,Ko, ,,,,30x35,mittel,breit,Ul,,Gs,FigG,,,,WG20,H1,bw,ParFV,jun,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,a2014,zT,B,G,,,30x35,mittel,breit,,,UoG,P,Ti,O,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3680,a2014,B, ,,,,30x35,mittel,breit,,,U, ,,,,WG20,H2,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3681,a2014,zT,B,T,,,30x35,mittel,breit,,,UoG,Ti,O,,,WG20,H2,gr,ParFV,kre,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,a2014,zT,B,T,,,30x35,mittel,breit,Lst,,UnG,FigG,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3683,a2014,B, ,,,,30x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,a2014,zT,B,T,,,30x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3685,a2014,zT,B,Fa,,,30x35,mittel,breit,,,Gs,Ti,Pf,O,,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3686,a2014,zT,B,G,,,30x35,mittel,breit,,,U, ,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687,a2014,zT,B,G,,,30x35,mittel,breit,,,UoG,FigG,O,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3688,a2014,B, ,,,,30x35,mittel,breit,,,U,FigG,Ti,O,,WG20,H1,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689,a2014,Mt,B,G,T,,30x35,mittel,breit,,,UoG,O,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3690,a2014,zT,B,T,,,30x35,mittel,breit,Lst,,U,FigG,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3691,a2014,B,,,,,31x35,mittel,breit,,,Gs,FigG,Ti,O,,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,a2014,B,,,,,31x35,mittel,breit,,,Gs,Ri,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3693,a2014,Mt,B,Fa,T,,31x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3694,a2014,zT,B,Fs,,,31x35,mittel,breit,Ul,,Gs,FigG,Ti,"Ri, O", ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3695,a2014,B,,,,,31x35,mittel,breit,Lst,,UoG,mF,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3696,a2014,B,,,,,31x35,mittel,breit,Ul,,U,,,,,WG20,H1,bw,ParFV,zwi,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3697,a2014,B,,,,,31x35,mittel,breit,,,UoG,Ti,O,,,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3698,a2014,B,,,,,31x35,mittel,breit,Ul,,UoG,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,a2014,Mt,B,T,Fa,,31x35,mittel,breit,,,Gs,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,a2014,B,,,,,31x35,mittel,breit,,,Gs,Ri,Ti,"Sb, O",,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,a2014,B,,,,,31x35,mittel,breit,Ul,,Gs,P,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,a2014,T,,,,,31x35,mittel,breit,,,Gs,P,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,a2014,B,,,,,31x35,mittel,breit,,,Gs,Ri,Ti,O,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,a2014,zT,B,T,,,31x35,mittel,breit,,,U,,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705,a2014,zT,Ko,B,,,31x35,mittel,breit,Ul,,Gs,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,a2014,Mt,B,Fa,Fs,,31x35,mittel,breit,Lwi,,U,,,,,WG20,H1,gr,ParFV,was,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707,a2014,Mt,T,G,B,,31x35,mittel,breit,,,Gs,P,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3708,a2014,Mt,Ac,Sc,C,,31x35,mittel,breit,,,U,mF,,,,WG20,H3,gr,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3709,a2014,Ac, ,,,,31x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710,a2014,zT,B,G,,,31x35,mittel,breit,,,U,,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3711,a2014,Mt,B,Fa,G,,31x35,mittel,breit,,,UoG,Ti,O,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Rok,3711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712,a2014,zT,B,G,,,31x35,mittel,breit,,,UoG,mF,,,,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3713,a2014,B, ,,,,31x35,mittel,breit,,,UoG,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714,a2014,zT,B,T,,,31x35,mittel,breit,Gi,,Gs,mF,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715,a2014,zT,B,Fs,,,31x35,mittel,breit,,,U, ,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,a2014,Mt,B,T,Opl,,31x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717,a2014,zT,B,G,,,31x35,mittel,breit,,,UnG,mF,,,,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3718,a2014,Mt,B,T,G,,31x35,mittel,breit,,,Gs,mF,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719,a2014,zT,B,Opl,,,31x35,mittel,breit,,,UoG,Ti,O,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3720,a2014,zT,B,G,,,31x35,mittel,breit,,,Gs,mF,,,,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3721,a2014,zT,T,C,,,49x32,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,,3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722,a2014,zT,T,C,,,48x31,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H4,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3723,a2014,zT,T,C,,,49x31,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,,3723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,a2014,zT,T,C,,,46x32,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,,3724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725,a2014,zT,T,C,,,48x33,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H3,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,vK,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3726,a2014,zT,T,C,,,47x31,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H2,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,,3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727,a2014,zT,T,C,,,48x26,mittel,hoch,sCo,,UoG,AP,Ba,,,WG16,H4,bw,ParFV,ste,Badende (nach Félix Vallotton),iBdK,,,,,,3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728,a1983,G,,,,,45x38,mittel,hoch,,,Gs,bb,Pf,O,,Ec,H2,cf,,,composición agrotropical,iBdK,,,,,vK,3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729,a1983,G,,,,,50x42,mittel,hoch,,,Gs,Vo,Sch,O,,,H3,cf,,,,iBdK,,,,,,3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3730,a1983,G,,,,,42x52,mittel,breit,,,UnG,A,,,,,H4,c,,,,iBdK,,,,,,3730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3731,a1984,G,,,,,42x47,mittel,breit,,,Gs,O,,,,,H2,cf,,,,iBdK,,,,,,3731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732,a1985,G,,,,,39x50,mittel,breit,,,UoG,Ti,St,O,StoFG,,H3,c,,sch,,iBdK,,,,,dK,3732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733,a1985,G,,,,,35x46,mittel,breit,,,UoG,L,,,,,H2,cf,,,,iBdK,,,,,,3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3734,a1987,G,,,,,35x48,mittel,breit,,,UoG,Fk,O,,,,H3,g,,,,iBdK,,,,,,3734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
