Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,path,thumb,TitelEinfach,Techniken,Motiven,Darstellungsformen
0025,2011,B,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0025_2011_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0025_2011_B_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,B    ,   , 
0026,2021,Fa,,,,,15x11,klein,hoch,,,U,,,,,,H1,cf,Kr7,,über den Punkt gebracht,iBdK,,,,,,0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0026.jpg,images/WV_neu_20210219/thumb/0026.jpg,uber den punkt gebracht,Fa    ,   , 
0027,2012,B,,,,,21x30,klein,breit,sM,Lwi,UoG,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0027.jpg,images/WV_neu_20210219/thumb/0027.jpg,fruchtestillleben frei nach paul cezanne,B    ,   ,sM Lwi
0028,2016,G,,,,,21x30,klein,breit,krS,,U,,,,,Fst,H2,v,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0028_2016_G_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0028_2016_G_A4_F_PPC_H2.jpg,fruchtestillleben frei nach paul cezanne,G    ,   ,krS 
0029,2021,B,,,,,9x18,klein,breit,,,Gs,Ri,,,,,H1,Y,Kr9,,La Belle et la Bête,iBdK,,,,,Rk,0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0029.jpg,images/WV_neu_20210219/thumb/0029.jpg,la belle et la bete,B    ,Ri   , 
0030,2012,Mt,Dd,B,G,Fs,21x30,klein,breit,,,U,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0030_2012_M_A4_F_PPC_H3.jpg,images/WV_ab 0001/thumb/0030_2012_M_A4_F_PPC_H3.jpg,fruchtestillleben frei nach paul cezanne,Mt Dd B G Fs,   , 
0031,2011,B,B,G,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0031_2011_B_G_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0031_2011_B_G_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,B B G  ,   ,Lwi 
0032,2011,B,,,,,21x30,klein,breit,Lst,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0032_2011_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0032_2011_B_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,B    ,   ,Lst 
0033,2011,Mt,Dd,B,Fs,G,21x30,klein,breit,Gi,,Gs,F,St,StmFG,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0033_2011_M_A4_F_PPC_H3.jpg,images/WV_ab 0001/thumb/0033_2011_M_A4_F_PPC_H3.jpg,fruchtestillleben frei nach paul cezanne,Mt Dd B Fs G,F St StmFG ,Gi 
0034,2012,Mt,Dd,T,Fs,,21x30,klein,breit,Lst,,U,BiB,,,,,H2,bw,Kr8,,18th nervous breakdown,iBdK,,,,,,0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0034.jpg,images/WV_neu_20210219/thumb/0034.jpg,18th nervous breakdown,Mt Dd T Fs ,BiB   ,Lst 
0035,2011,B,,,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,y,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0035_2011_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0035_2011_B_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,B    ,   ,Lwi 
0036,2023,Fs,,,,,11x21,klein,breit,,,UoG,Sch,,,,,H3,bw,Kr3,zwi,Capriccio,iBdK,,,,,,0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20240313/0036.jpg,images/WV_neu_20240313/thumb/0036.jpg,capriccio,Fs    ,Sch   , 
0037,2011,Mt,Dd,B,Fa,,21x30,klein,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,,0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20210219/0037.jpg,images/WV_neu_20210219/thumb/0037.jpg,fruchtestillleben frei nach paul cezanne,Mt Dd B Fa ,Sch   , 
0038,2011,zT,Od,B,,,21x30,klein,breit,,,Gs,F,Sch,BiB,"St, StmFG",Fst,H2,cf,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,,,,,Zk,0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 0001/0038_2011_Od_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0038_2011_Od_B_A4_F_PPC_H1.jpg,fruchtestillleben frei nach paul cezanne,zT Od B  ,F Sch BiB St StmFG, 
