Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Komposition,Nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,path,thumb,TitelEinfach,Techniken,Motiven,Darstellungsformen
3669,2014,zT,B,Fs,,,30x35,mittel,breit,Lst,,UnG,FigG,Ti,O,,WG20,H1,gr,ParFV,was,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3669_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3669_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B Fs  ,FigG Ti O ,Lst 
3670,2014,Mt,B,T,Lk,G,30x35,mittel,breit,,,UoG,O,Ti,,,WG20,H3,gr,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Rok,3670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3670_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3670_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt B T Lk G,O Ti  , 
3671,2014,zT,B,Lk,,,30x35,mittel,breit,,,UoG,mF,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3671_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3671_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B Lk  ,mF   , 
3672,2014,G,,,,,30x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3672_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3672_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,G    ,FigG Ti O , 
3673,2014,B,,,,,30x35,mittel,breit,,,U,,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3673_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3673_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,   , 
3674,2014,B,,,,,30x35,mittel,breit,,,Gs,FigG,Ti,O,,WG20,H3,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3674_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3674_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,FigG Ti O , 
3675,2014,B,,,,,30x35,mittel,breit,,,UoG,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3675_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3675_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,FigG   , 
3676,2014,zT,B,T,,,30x35,mittel,breit,,,Gs,Ti,O,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3676_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3676_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B T  ,Ti O  , 
3677,2014,zT,Ac,Sc,,,30x35,mittel,breit,,,Gs,P,,,,WG20,H3,bw,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3677_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3677_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT Ac Sc  ,P   , 
3678,2014,Ko, ,,,,30x35,mittel,breit,Ul,,Gs,FigG,,,,WG20,H1,bw,ParFV,jun,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3678_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3678_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Ko     ,FigG   ,Ul 
3679,2014,zT,B,G,,,30x35,mittel,breit,,,UoG,P,Ti,O,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3679_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3679_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B G  ,P Ti O , 
3680,2014,B, ,,,,30x35,mittel,breit,,,U, ,,,,WG20,H2,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3680_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3680_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B     ,    , 
3681,2014,zT,B,T,,,30x35,mittel,breit,,,UoG,Ti,O,,,WG20,H2,gr,ParFV,kre,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3681_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3681_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B T  ,Ti O  , 
3682,2014,zT,B,T,,,30x35,mittel,breit,Lst,,UnG,FigG,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3682_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3682_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B T  ,FigG   ,Lst 
3683,2014,B, ,,,,30x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3683_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3683_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B     ,FigG Ti O , 
3684,2014,zT,B,T,,,30x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3684_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3684_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B T  ,FigG Ti O , 
3685,2014,zT,B,Fa,,,30x35,mittel,breit,,,Gs,Ti,Pf,O,,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3685_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3685_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B Fa  ,Ti Pf O , 
3686,2014,zT,B,G,,,30x35,mittel,breit,,,U, ,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3686_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3686_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B G  ,    , 
3687,2014,zT,B,G,,,30x35,mittel,breit,,,UoG,FigG,O,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3687_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3687_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B G  ,FigG O  , 
3688,2014,B, ,,,,30x35,mittel,breit,,,U,FigG,Ti,O,,WG20,H1,bw,ParFV,ste,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3688_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3688_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B     ,FigG Ti O , 
3689,2014,Mt,B,G,T,,30x35,mittel,breit,,,UoG,O,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3689_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3689_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt B G T ,O   , 
3690,2014,zT,B,T,,,30x35,mittel,breit,Lst,,U,FigG,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3690_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3690_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B T  ,FigG   ,Lst 
3691,2014,B,,,,,31x35,mittel,breit,,,Gs,FigG,Ti,O,,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3691_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3691_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,FigG Ti O , 
3692,2014,B,,,,,31x35,mittel,breit,,,Gs,Ri,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3692_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3692_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,Ri Ti O , 
3693,2014,Mt,B,Fa,T,,31x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3693_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3693_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt B Fa T ,FigG Ti O , 
3694,2014,zT,B,Fs,,,31x35,mittel,breit,Ul,,Gs,FigG,Ti,"Ri, O", ,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3694_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3694_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B Fs  ,FigG Ti Ri O  ,Ul 
3695,2014,B,,,,,31x35,mittel,breit,Lst,,UoG,mF,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3695_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3695_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,mF   ,Lst 
3696,2014,B,,,,,31x35,mittel,breit,Ul,,U,,,,,WG20,H1,bw,ParFV,zwi,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_web 2020 0610 Ersetzungen/3696_be.jpg,images/WV_web 2020 0610 Ersetzungen/thumb/3696_be.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,   ,Ul 
3697,2014,B,,,,,31x35,mittel,breit,,,UoG,Ti,O,,,WG20,H2,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3697_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3697_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,Ti O  , 
3698,2014,B,,,,,31x35,mittel,breit,Ul,,UoG,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_neu_20220130_ersatz/3698.jpg,images/WV_neu_20220130_ersatz/thumb/3698.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,FigG   ,Ul 
3699,2014,Mt,B,T,Fa,,31x35,mittel,breit,,,Gs,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3699_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3699_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt B T Fa ,FigG Ti O , 
3700,2014,B,,,,,31x35,mittel,breit,,,Gs,Ri,Ti,"Sb, O",,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Zk,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_web 2020 0610 Ersetzungen/3700_be.jpg,images/WV_web 2020 0610 Ersetzungen/thumb/3700_be.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,Ri Ti Sb O , 
3701,2014,B,,,,,31x35,mittel,breit,Ul,,Gs,P,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3701_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3701_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,P   ,Ul 
3702,2014,T,,,,,31x35,mittel,breit,,,Gs,P,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3702_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3702_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,T    ,P Ti O , 
3703,2014,B,,,,,31x35,mittel,breit,,,Gs,Ri,Ti,O,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3703_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3703_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B    ,Ri Ti O , 
3704,2014,zT,B,T,,,31x35,mittel,breit,,,U,,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3704_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3704_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B T  ,   , 
3705,2014,zT,Ko,B,,,31x35,mittel,breit,Ul,,Gs,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3705_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3705_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT Ko B  ,FigG   ,Ul 
3706,2014,Mt,B,Fa,Fs,,31x35,mittel,breit,Lwi,,U,,,,,WG20,H1,gr,ParFV,was,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_web 2020 0610 Ersetzungen/3706_be.jpg,images/WV_web 2020 0610 Ersetzungen/thumb/3706_be.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt B Fa Fs ,   ,Lwi 
3707,2014,Mt,T,G,B,,31x35,mittel,breit,,,Gs,P,,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3707_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3707_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt T G B ,P   , 
3708,2014,Mt,Ac,Sc,C,,31x35,mittel,breit,,,U,mF,,,,WG20,H3,gr,ParFV,sko,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3708_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3708_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt Ac Sc C ,mF   , 
3709,2014,Ac, ,,,,31x35,mittel,breit,,,UoG,FigG,Ti,O,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3709_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3709_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Ac     ,FigG Ti O , 
3710,2014,zT,B,G,,,31x35,mittel,breit,,,U,,,,,WG20,H2,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3710_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3710_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B G  ,   , 
3711,2014,Mt,B,Fa,G,,31x35,mittel,breit,,,UoG,Ti,O,,,WG20,H3,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,Rok,3711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3711_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3711_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,Mt B Fa G ,Ti O  , 
3712,2014,zT,B,G,,,31x35,mittel,breit,,,UoG,mF,,,,WG20,H1,gr,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3712_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3712_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,zT B G  ,mF   , 
3713,2014,B, ,,,,31x35,mittel,breit,,,UoG,FigG,,,,WG20,H1,bw,ParFV,,Das Nachtessen bei Lampenlicht (nach Félix Vallotton),iBdK,res,,,,,3713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/WV_ab 3605/3713_bearbeitet-1.jpg,images/WV_ab 3605/thumb/3713_bearbeitet-1.jpg,das nachtessen bei lampenlicht nach felix vallotton,B     ,FigG   , 
